Cikkszám;Kategória;Gyártó;Név;Ár;Garidõ
15902;Memória;CSX;CSX 1GB DDR2 800MHz;2000;-1
15903;Memória;CSX;CSX 1GB DDR3 1333MHz;1490;-1
15904;Memória;CSX;CSX 2GB DDR3 1066MHz Standard;3080;-1
15905;Memória;CSX;CSX 2GB DDR2 800MHz;4330;-1
15906;Memória;CSX;CSX 2GB DDR3 1333MHz;2780;-1
15918;Memória;CSX;CSX 4GB DDR2 800MHz Kit (2x2GB);9610;-1
15919;Memória;CSX;CSX 4GB DDR3 1333MHz Kit (2x2GB);6660;-1
15920;Memória;CSX;CSX 4GB DDR3 1600MHz Overclocking Kit (2x2GB);6660;-1
16184;Nyomtató;Brother;Brother QL-570 Cimkenyomtató;18390;24
16727;Nyomtató;Epson;Epson LQ-590 Mátrix nyomtató;137560;12
16982;Memória;Transcend;Transcend 2GB DDR2 800MHz JetRAM;6010;24
17146;Memória;CSX;CSX 512MB DDR 400Mhz;1510;-1
17511;Nyomtató;Oki;Oki C610N színes Lézer LED nyomtató;114280;36
18452;Processzor;Noctua;Noctua hõvezetõ paszta 3g fecskendõ;1960;0
18515;Memória;CSX;CSX 2GB DDR3 1600MHz;2720;-1
18573;Memória;Kingmax;Kingmax 8GB DDR3 1333MHz KIT (2x4GB);8900;36
18921;Memória;Corsair;Corsair 4GB DDR2 800MHz Kit(2x2GB) XMS2 DHX;16990;-1
19339;Memória;Kingmax;Kingmax 4GB DDR3 1333MHz Dual Channel Kit (2x2GB);5550;36
20090;Memória;Silicon Power;Silicon Power 1GB DDR2 800MHz;5030;-1
21570;Nyomtató;HP;HP Color LaserJet Pro CP1025 (CE913A) Színes lézernyomtató;30900;12
22018;Nyomtató;HP;HP Color LaserJet Pro CP1025nw (CE914A) wireless színes lézernyomtató;38400;12
22231;Processzor;Zalman;Zalman ZM-STG2 processzor hûtõzsír;1280;0
22564;Memória;Corsair;Corsair 8GB DDR3 1600MHz KIT(2x4GB) Dominator CMP8GX3M2A1600C9;17990;-1
22567;Memória;Corsair;Corsair 4GB DDR3 1333MHz XMS3 XMP;5980;-1
22568;Memória;Corsair;Corsair 4GB DDR3 1600MHz XMS3;6230;-1
23521;Memória;Corsair;Corsair 2GB DDR3 1333MHz;3790;-1
23708;Processzor;Arctic;Arctic MX-2 Hûtõpaszta 30g;3760;0
24007;Processzor;Coolink;Coolink Processzor hûtõzsír 1,5g;130;0
24105;Processzor;Arctic;Arctic MX-2 Hûtõpaszta 4g;820;0
24289;Processzor;Coolink;Coolink Processzor hûtõzsír 2g fecskendõ ezüsttartalmú;260;0
24338;Monitor;Asus;"Asus 23,6"" VE247H LED 23,6"",1920x1080,10000000:1,300cd/m2,2ms,1xDVI,1xHDMI,Black,Multimédia,LED";35790;36
24459;Processzor;Arctic;"Arctic MX-4 ""hõközlõ zsír"" 4g";1430;0
24964;Memória;Corsair;Corsair 4GB DDR3 1600MHz Kit (2x2GB) Vengeance;9130;-1
25041;Nyomtató;Oki;Oki C711dn színes Lézer LED nyomtató;291570;12
25045;Nyomtató;Xerox;Xerox Phaser 6500V_N Lézernyomtató;81660;12
25216;Videokártya;EVGA;EVGA GeForce 6200 512MB DDR2 nVidia,AGP,GPU:350MHz,RAM:532MHz,512MB,DDR2,64bit,Passzív hûtés,VGA,1xDVI,TVO;10990;24
25218;Videokártya;EVGA;EVGA GeForce GT 210 1GB DDR3 nVidia,PCIE,GPU:520MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;7150;36
25366;Memória;Corsair;Corsair 12GB DDR3 1600MHz Kit (3x4GB) Vengeance XMP;19980;99
25368;Memória;Corsair;Corsair 8GB DDR3 1866MHz Kit (2x4GB) Vengeance Black;15170;-1
25390;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit (2x4GB) Vengeance;10590;-1
25953;Nyomtató;Oki;Oki ML5720 Mátrixnyomtató 9 TÛS;103300;12
26077;Videokártya;Msi;Msi R5450-MD1GD3H/LP ATI,1GB,DDR3,PCIE,VGA,1xDVI,1xHDMI,LP,CrossFire,GPU:650MHz,RAM:1066MHz,64bit,Passzív hûtés;6840;36
26116;Memória;A-Data;A-Data 512MB DDR 400MHz;3380;-1
26303;Memória;CSX;CSX 2GB DDR2 800Mhz ALPHA;4100;48
26524;Memória;Geil;Geil 8GB DDR3 1600MHz Black Dragon Kit2 (2x4GB);12430;-1
26863;Memória;Transcend;Transcend 1GB DDR2 667MHz  JetRAM;3180;24
27287;Videokártya;Sapphire;Sapphire HD6450 1GB DDR3 ATI,1GB,DDR3,PCIE,VGA,1xDVI,1xHDMI,LP,GPU:625MHz,RAM:1334MHz,64bit,Passzív hûtés;8330;24
27342;Memória;Corsair;Corsair 4GB DDR3 1600MHz Vengeance;6110;-1
27345;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit(2x4GB)  XMS3;10390;-1
27503;Nyomtató;HP;HP Officejet 100 mobil tintasugaras;57500;12
27676;Memória;CSX;CSX 2GB DDR3 1333Mhz;2780;24
28001;Memória;CSX;CSX 4GB DDR3 1333MHz;5110;24
28270;Memória;Corsair;Corsair 2GB DDR2 667MHz Kit(2x1GB);7350;-1
29393;Memória;Geil;Geil 8GB DDR3 1333MHz  BLACK DRAGON Dual Channel (2x4GB) CL9;24070;-1
29734;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit (4x4GB) Vengeance;23100;-1
29775;Memória;Transcend;Transcend 2GB DDR3 1333MHz;3980;24
30099;Videokártya;Gainward;Gainward GeForce 210GT 1GB DDR3  nVidia,PCIE,GPU:589MHz,RAM:500MHz,1GB,DDR3,64bit,Passzív hûtés,1xDVI,1xHDMI,LP,SLI;6990;36
30168;Processzor;Arctic;"Arctic MX-4 ""hõközlõ zsír"" 20g";3700;0
30179;Memória;CSX;CSX 1GB DDR2 800Mhz ALPHA;1980;120
30278;Memória;Veritech;Veritech 1GB DDR 400MHz;2540;120
30292;Memória;CSX;CSX 4GB DDR3 1333MHz;5180;-1
30536;Memória;Geil;Geil 8GB DDR3 1333MHz Enchance Corsa Kit2 (2x4GB);20010;-1
30546;Memória;Geil;Geil 8GB DDR3 2133MHz EVO CORSA Dual Channel (2x4GB) CL10;21910;-1
30626;Videokártya;GIGABYTE;GIGABYTE GT210 1GB DDR3 GV-N210D3-1GI nVidia,PCIE,GPU:590MHz,RAM:1200MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;7750;36
30902;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit (2x4GB) Vengeance Black LP;9800;-1
30903;Memória;Corsair;Corsair 4GB DDR3 1333MHz;5200;-1
31410;Monitor;Dell;"Dell 24"" U2412M 24"",1920x1080,1000:1,300cd/m2,8ms,1xDVI,Black,LED,4xUSB 2.0,DP";66920;36
31581;Nyomtató;Oki;Oki C9655DN színes Lézer LED nyomtató;500430;36
31749;Memória;CSX;CSX 4GB DDR2 800MHz;16890;-1
31966;Memória;Corsair;Corsair 8GB DDR3 1866MHz Kit (2x4GB) Vengeance Blue;11990;-1
31967;Memória;Corsair;Corsair 4GB DDR3 1600MHz Kit(2x2GB) XMS3;6990;-1
32049;Nyomtató;Canon;Canon LBP7018C i-SENSYS lézernyomtató;29000;12
32135;Videokártya;Gainward;Gainward GeForce 210GT 512MB DDR3 nVidia,PCIE,GPU:589MHz,RAM:1250MHz,512MB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,SLI;6790;36
32166;Videokártya;Sapphire;Sapphire HD6450 2GB DDR3 ATI,PCIE,GPU:625MHz,RAM:1334MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP,CrossFire;12360;24
32358;Processzor;Spire;Spire BlueFrost - SP802 0,5g hûtõzsír Blue;430;0
32359;Processzor;Spire;Spire STARS-420 hûtõzsír White;300;0
32360;Processzor;Spire;Spire STARS-700 hûtõzsír Silver;370;0
33100;Memória;Kingmax;Kingmax 4GB DDR3 1600MHz;4570;36
33102;Videokártya;GIGABYTE;GIGABYTE GT210 1GB DDR3 GV-N210SL-1GI nVidia,PCIE,GPU:520MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,CrossFire;7640;36
33276;Videokártya;Msi;Msi N210-MD1GD3H/LP nVidia,PCIE,GPU:589MHz,RAM:1000MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;6750;36
33514;Videokártya;Sapphire;Sapphire HD5450 2GB DDR3 ATI,PCIE,GPU:650MHz,RAM:1334MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;11250;24
33641;Monitor;Benq;"Benq 24"" GL2450 LED 24"",1920x1080,1000:1,250cd/m2,5ms,1xDVI,Black,LED";36130;36
34150;Nyomtató;Canon;Canon LBP7660Cdn i-SENSYS lézernyomtató;87970;12
35909;Nyomtató;HP;HP Officejet Pro 8100 ePrinter (CM752A) wireless tintasugaras nyomtató;22000;12
35924;Nyomtató;Canon;Canon iR2520 A3 Irodai fekete-fehér fénymásoló;219440;12
35950;Memória;A-Data;A-Data 1GB DDR2 800MHz Bulk;3770;-1
36163;Monitor;Benq;"Benq 21,5"" GL2250 LED  21,5"",1920x1080,12M:1,250cd/m2,5ms,1xDVI,Black,LED,D-Sub ,21,5""";24690;36
36544;Processzor;Arctic;Arctic MX-2 Hûtõpaszta 65g;6100;0
37207;Nyomtató;Brother;Brother QL-700 Címkenyomtató;22390;24
37384;Memória;CSX;CSX 8GB DDR3 1333MHz;10520;-1
37772;Nyomtató;HP;HP Color LaserJet Pro 400 M451nw (CE956A) wireless színes lézernyomtató;64800;12
37810;Memória;Corsair;Corsair 16GB DDR3 1866MHz Kit (4x4GB) Vengeance;27580;-1
38317;Memória;Geil;Geil 16GB DDR3 1333MHz Evo Corsa Kit2 (2x8GB);21360;-1
38720;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit (2x8GB) Vengeance Black;17990;-1
38927;Nyomtató;Oki;Oki MICROLINE 3320 Mátrixnyomtató ECO 9 Tûs, 435 CPS;97790;12
39447;Memória;Patriot;Patriot 8GB DDR3 1333MHz Signature Kit (2x4GB) CL9;7490;-1
39485;Memória;CSX;CSX 4GB DDR3 1600MHz;4810;-1
39644;Memória;Patriot;Patriot 1GB DDR 400MHz Signature;2990;-1
39901;Nyomtató;Epson;Epson Stylus Photo 1500W wireless tintasugaras nyomtató;86320;12
40547;Nyomtató;HP;HP LaserJet Pro 400 M401dn (CF278A) lézernyomtató;73260;12
40737;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit (4x4GB) Vengeance Quad Channel;27490;-1
40797;Memória;CSX;CSX 1GB DDR 400Mhz;2680;120
40803;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit (2x4GB) Vengeance;13200;-1
40807;Memória;Corsair;Corsair 8GB DDR3 2133MHz Vengeance Kit2 (2x4GB);15760;-1
40809;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit (2x4GB) Vengeance Blue LP;9990;-1
40848;Memória;CSX;CSX 8GB DDR3 1333MHz KIT(2x4GB);11820;-1
40849;Memória;CSX;CSX 8GB DDR3 1600MHz Kit(2x4GB);13140;-1
40998;Memória;Corsair;Corsair 8GB DDR3 1333MHz Kit (2x4GB) Value;9900;-1
41107;Nyomtató;Lexmark;Lexmark 2591+ Dot Matrixnyomtató;173600;12
41109;Nyomtató;Lexmark;Lexmark 2581N+ Dot Matrixnyomtató;228680;12
41111;Nyomtató;Lexmark;Lexmark 2580+ Dot Matrixnyomtató;146840;12
41171;Memória;CSX;CSX 4GB DDR3 1333MHz Kit(2x2GB);5550;-1
41172;Memória;CSX;CSX 8GB DDR3 1333MHz KIT(2x4GB);11090;-1
41301;Nyomtató;Lexmark;Lexmark C746DN Lézernyomtató;148120;12
41302;Nyomtató;Lexmark;Lexmark C746DTN Lézernyomtató;207900;12
41304;Nyomtató;Lexmark;Lexmark C748DE Lézernyomtató;280130;12
41305;Nyomtató;Lexmark;Lexmark C748DTE Lézernyomtató;340560;12
41306;Nyomtató;Lexmark;Lexmark C748E Lézernyomtató;231530;12
41307;Nyomtató;Lexmark;Lexmark C792DE Lézernyomtató;369780;12
41308;Nyomtató;Lexmark;Lexmark C792DTE Lézernyomtató;467980;12
41309;Nyomtató;Lexmark;Lexmark C792E Lézernyomtató;336200;12
41310;Nyomtató;Lexmark;Lexmark C925DE Lézernyomtató;398190;12
41311;Nyomtató;Lexmark;Lexmark C925DTE Lézernyomtató;534930;12
41342;Videokártya;Asus;Asus GT610-SL-1GD3-L nVidia,PCIE,GPU:810MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;9100;36
41490;Nyomtató;Oki;Oki C301DN színes lézer LED nyomtató;33790;36
41492;Nyomtató;Oki;Oki B401D lézer LED nyomtató Black;24970;12
41559;Memória;Corsair;Corsair 2GB DDR3 1333MHz XMS3 XMP;4360;-1
41568;Memória;Corsair;Corsair 12GB DDR3 1333MHz Kit (3x4GB) XMS3 XMP;18710;-1
41578;Memória;Corsair;Corsair 4GB DDR2 800MHz Kit(2x2GB);12400;-1
41584;Memória;Corsair;Corsair 2GB DDR2 533MHz Kit(2x1GB);7710;-1
41585;Memória;Corsair;Corsair 1GB DDR2 667MHz;3670;-1
41590;Memória;Corsair;Corsair 512MB DDR 400MHz;3360;-1
41604;Memória;Corsair;Corsair 4GB DDR3 1333MHz Kit(2x2GB);7720;-1
41618;Videokártya;Sapphire;Sapphire HD6450 1GB DDR3  ATI,PCIE,GPU:625MHz,RAM:1334MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;10660;24
41795;Memória;Corsair;Corsair 4GB DDR3 1600MHz Kit (2x2GB) Vengeance;6990;-1
41804;Videokártya;GIGABYTE;GIGABYTE HD5450 1GB DDR3 GV-R545-1GI ATI,PCIE,GPU:650MHz,RAM:1100MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP,CrossFire;8350;36
41891;Videokártya;Gainward;Gainward GeForce 610GT 2GB DDR3 nVidia,PCIE,GPU:810MHz,RAM:535MHz,2GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;10810;36
41922;Videokártya;Zotac;Zotac GeForce GT 610 1GB DDR3 Synergy Edition nVidia,PCIE,GPU:810MHz,RAM:1066MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP,Extended Warranty;11190;24
41928;Videokártya;PNY;PNY GeForce GT 610 1GB DDR3  nVidia,PCIE,GPU:810MHz,1GB,64bit;11470;36
42152;Nyomtató;Canon;Canon LBP 6670DN lézernyomtató;52460;12
42168;Videokártya;Gainward;Gainward GeForce 610GT 1GB DDR3 nVidia,PCIE,GPU:810MHz,RAM:535MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI;8230;36
42302;Videokártya;Msi;Msi N610GT-2GD3H/LP nVidia,PCIE,GPU:550MHz,RAM:1000MHz,2GB,DDR3,64bit,Passzív hûtés,1xDVI,1xHDMI;10400;36
42324;Memória;Silicon Power;Silicon Power 1GB DDR 266MHz CL2,5;7480;-1
42583;Nyomtató;Canon;Canon LBP6680X i-SENSYS Lézernyomtató;76910;12
42620;Nyomtató;Oki;Oki C531DN színes lézer LED nyomtató;57860;36
42702;Memória;Corsair;Corsair 8GB DDR3 1866MHz Kit (2x4GB) Vengeance Pro Red;11790;-1
42706;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit (2x4GB)  Vengeance White LP;11990;-1
42714;Memória;Corsair;Corsair 4GB DDR3 1600MHz Vengeance Blue;5290;-1
42716;Memória;Corsair;Corsair 4GB DDR3 1600MHz Vengeance Black LP;6110;-1
42781;Videokártya;EVGA;EVGA GeForce GT 610 2GB DDR3          nVidia,PCIE,GPU:810MHz,RAM:1620MHz,2GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;10900;36
42811;Videokártya;Asus;Asus GT610-SL-2GD3-L nVidia,PCIE,GPU:810MHz,RAM:1200MHz,2GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI;11100;36
42869;Videokártya;EVGA;EVGA GeForce GT 610 1GB DDR3  nVidia,PCIE,GPU:810MHz,RAM:1000MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI;9490;36
43375;Videokártya;GIGABYTE;GIGABYTE GT610 1GB DDR3 GV-N610SL-1GI  nVidia,PCIE,GPU:810MHz,RAM:1200MHz,1GB,DDR3,64bit,Passzív hûtés,VGA,1xDVI,1xHDMI,LP;8760;36
43390;Memória;Corsair;Corsair 8GB DDR3 1600MHz Vengeance;12480;-1
43391;Memória;Corsair;Corsair 2GB DDR 400MHz Kit(2x1GB);15260;-1
43392;Memória;Corsair;Corsair 1GB DDR2 533MHz;3910;-1
43393;Memória;Corsair;Corsair 2GB DDR2 667MHz;6660;-1
43482;Memória;Veritech;Veritech 1GB DDR 400MHz VG;2400;12
43824;Videokártya;Sapphire;Sapphire HD5450 1GB DDR3  AMD,PCIE,GPU:650MHz,RAM:1333MHz,1GB,DDR3,64bit,Passzív hûtés,2xDVI;10490;24
43865;Monitor;Viewsonic;"Viewsonic 22"" VA2232W LED  22"",1680x1050,1,000:1,250cd/m2,5ms,1xDVI,LED,LED,22""";29980;36
43871;Nyomtató;Oki;Oki C511DN színes lézer LED nyomtató;74210;12
43923;Nyomtató;Brother;Brother QL-710W Címkenyomtató;33330;24
43962;Memória;Kingston;Kingston 4GB DDR3 1600MHz Single Rank;4290;-1
43963;Memória;Kingston;Kingston 8GB DDR3 1333MHz CL9;8560;-1
44016;Memória;Kingston;Kingston 16GB DDR3 1333MHz CL9 Kit(2x8GB);28590;12
44017;Memória;Kingston;Kingston 16GB DDR3 1333MHz CL9 Kit(2x8GB);15700;-1
44318;Nyomtató;HP;HP LaserJet Pro P1102w (CE658A) wireless lézernyomtató;21900;12
44423;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit(2X4GB) Dominator Platinum XMP;23590;-1
44426;Memória;Corsair;Corsair 8GB DDR3 1866MHz Kit(2X4GB) Dominator Platinum XMP;33390;-1
44763;Monitor;Asus;"Asus 21,5"" VE228TR LED 21,5"",1920x1080,80000000:1,250cd/m2,5ms,1xDVI,Black,Multimédia,LED";27300;36
44773;Processzor;CoolerMaster;CoolerMaster IC Value V1 - Grease / High performance - White;530;0
44774;Processzor;CoolerMaster;CoolerMaster IC Essential E1 - Grease / High performance Silver;730;0
44775;Processzor;CoolerMaster;CoolerMaster IC Essential E2 - Grease / High performance Gold;590;0
44895;Memória;Kingston;Kingston 8GB DDR3 1600MHz;7590;-1
44903;Memória;Kingmax;Kingmax 4GB DDR3 1600MHz KIT (2x2GB);5550;36
44976;Videokártya;Asus;Asus GT610-1GD3-L nVidia,PCIE,GPU:810MHz,RAM:1200MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;9060;36
44978;Videokártya;Asus;Asus 210-SL-TC1GD3-L nVidia,PCIE,GPU:589MHz,RAM:1200MHz,1GB,DDR3,32bit,Passzív hûtés,VGA,1xDVI,1xHDMI;6650;36
44984;Nyomtató;Samsung;Samsung CLP-415N színes hálózatos lézernyomtató;52170;12
44985;Nyomtató;Samsung;Samsung CLP-680ND színes hálózatos/duplex lézernyomtató;68060;12
45079;Videokártya;HP;HP NVIDIA GeForce GT630 DP 2 GB (B4J92AA) nVidia,PCIE,RAM:400MHz,2GB,DDR5,128bit,Aktív hûtés,1xDVI,DisplayPort;26820;12
45089;Videokártya;Asus;Asus 210-1GD3-L nVidia,PCIE,GPU:589MHz,RAM:1200MHz,1GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;7790;36
45336;Memória;Kingmax;Kingmax 8GB DDR3 1333MHz;8390;36
45355;Videokártya;GIGABYTE;GIGABYTE GT610 2GB DDR3 GV-N610D3-2GI nVidia,PCIE,GPU:810MHz,RAM:1333MHz,2GB,DDR3,64bit,Aktív hûtés,VGA,1xDVI,1xHDMI,LP;9500;36
45401;Nyomtató;Xerox;Xerox Phaser 3320V_DNI wireless lézernyomtató;41390;12
45427;Nyomtató;Brother;Brother HL5440D Lézernyomtató;50500;24
45428;Nyomtató;Brother;Brother HL5450DN Lézernyomtató;65500;24
45634;Memória;Corsair;Corsair 16GB DDR3 2133MHz Kit(2x8GB) Vengeance;32750;-1
45640;Memória;Corsair;Corsair 2GB DDR2 800MHz;6840;-1
45677;Memória;Kingmax;Kingmax 8GB DDR3 1600MHz;8550;36
45685;Monitor;Benq;"Benq 18,5"" GL955A LED 18,5"",1366x768,600:1,200cd/m2,5ms,Black,LED,18,5"",16:9";21620;36
45818;Memória;Corsair;Corsair 8GB DDR3 1600MHz XMS3;11040;-1
45989;Memória;CSX;CSX 1GB DDR2 533MHz;1880;-1
46217;Processzor;AMD;AMD X2 A6-5400(K) FM2 3,6GHz BOX Black Edition;7790;36
46228;Memória;Corsair;Corsair 8GB DDR3 1600MHz Kit(2x4GB);10490;-1
46230;Memória;Corsair;Corsair 4GB DDR3 1600MHz;5410;-1
46282;Memória;Corsair;Corsair 4GB DDR3 1600MHz XMS3;4990;-1
46321;Processzor;AMD;AMD X2 A4-5300 FM2 3,4GHz BOX;7390;36
46532;Monitor;Asus;"Asus 21,5"" VE228HR LED  21,5"",1920x1080,80000000:1,250cd/m2,5ms,1xDVI,1xHDMI,Black,Multimédia,LED,21,5"",16:9";29300;36
46747;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit(2x8GB);20580;-1
46749;Memória;Corsair;Corsair 8GB DDR3 1600MHz;8550;-1
46752;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit (2x8GB) Vengeance Blue;21960;-1
46753;Memória;Corsair;Corsair 8GB DDR3 1600MHz Vengeance XMP Blue;10510;-1
46754;Memória;Corsair;Corsair 8GB DDR3 1600MHz Vengeance XMP Blue;9490;-1
47065;Processzor;AMD;AMD FX-8320 AM3+ 3,5GHz BOX Black Edition;32900;36
47140;Processzor;Arctic;Arctic Silver 5 Termal hûtõzsír;2350;0
47164;Processzor;AMD;AMD FX-6300 AM3+ 3,5GHz BOX Black Edition;23450;36
47170;Monitor;Benq;"Benq 24"" VW2430H LED 24"",1920x1080,5000:1,250cd/m2,4ms,1xDVI,1xHDMI,White,LED,16:9";49110;36
47366;Nyomtató;Canon;Canon IP7250 PIXMA wireless tintasugaras nyomtató;14300;12
47407;Processzor;AMD;AMD FX-4300 AM3+ 3,8GHz BOX Black Edition;16350;36
47509;Memória;Patriot;Patriot 4GB DDR3 1600MHz Signature CL11;4190;-1
47510;Memória;Patriot;Patriot 4GB DDR3 1333MHz Signature CL9;4290;-1
47752;Memória;Kingston;Kingston 4GB DDR3 1333MHz;4300;-1
47909;Memória;Corsair;Corsair 16GB DDR3 1600MHz Kit (2x8GB) Vengeance Blue;18990;-1
47911;Memória;Corsair;Corsair 16GB DDR3 1600MHZ Kit (2x8GB) Vengeance Green;22110;-1
47913;Memória;Corsair;Corsair 8GB DDR3 1600MHz Vengeance LP;11330;-1
48284;Memória;Kingston;Kingston 2GB DDR2 667MHz HP/Compaq;7780;-1
48285;Memória;Kingston;Kingston 2GB DDR2 800MHz HP/Compaq;7120;-1
48291;Memória;Kingston;Kingston 4GB DDR3 1600MHz HP/Compaq;4560;-1
48306;Videokártya;Asus;Asus HD5450-SL-HM1GD3-L-V2 AMD,PCIE,GPU:650MHz,RAM:900MHz,1GB,DDR3,32bit,Passzív hûtés,VGA,1xDVI,1xHDMI;7010;36
